component_id,component_type,error_name,created,date time
GR003165,ground,auto_reset_agent,1682830176,30/04/2023 04:49:00:490
GR003165,ground,read_data_matrix_timeout,1682830240,30/04/2023 04:50:00:500
LR00002288,lift,reset_agent_by_user,1682831330,30/04/2023 05:08:00:80
LR00002120,lift,reset_agent_by_user,1682831342,30/04/2023 05:09:00:90
GR003156,ground,ground_not_responding,1682832212,30/04/2023 05:23:00:230
GR003156,ground,goto_timeout,1682832240,30/04/2023 05:24:00:240
GR003156,ground,auto_reset_agent,1682832240,30/04/2023 05:24:00:240
GR003275,ground,turn_timeout,1682832741,30/04/2023 05:32:00:320
GR003275,ground,auto_reset_agent,1682832743,30/04/2023 05:32:00:320
GR003227,ground,auto_reset_agent,1682832755,30/04/2023 05:32:00:320
GR003165,ground,ground_not_responding,1682832916,30/04/2023 05:35:00:350
GR003165,ground,goto_timeout,1682832938,30/04/2023 05:35:00:350
GR003165,ground,auto_reset_agent,1682832938,30/04/2023 05:35:00:350
GR003165,ground,offline,1682833207,30/04/2023 05:40:00:400
GR003275,ground,turn_timeout,1682835381,30/04/2023 06:16:00:160
GR003275,ground,auto_reset_agent,1682835383,30/04/2023 06:16:00:160
GR003275,ground,robot_version_timeout,1682835422,30/04/2023 06:17:00:170
GR003275,ground,robot_version_timeout,1682835432,30/04/2023 06:17:00:170
GR003227,ground,periodic_goto_timeout,1682835624,30/04/2023 06:20:00:200
GR003227,ground,auto_reset_agent,1682835624,30/04/2023 06:20:00:200
GR003227,ground,robot_version_timeout,1682835652,30/04/2023 06:20:00:200
GR003227,ground,read_data_matrix_timeout,1682835699,30/04/2023 06:21:00:210
GR003254,ground,validate_sticker_timeout,1682835880,30/04/2023 06:24:00:240
GR003251,ground,goto_finished_off_sticker,1682835969,30/04/2023 06:26:00:260
GR003251,ground,corners_cv_started,1682835969,30/04/2023 06:26:00:260
GR003251,ground,turn_started_off_sticker,1682835971,30/04/2023 06:26:00:260
GR003251,ground,workaround_started,1682835972,30/04/2023 06:26:00:260
GR003251,ground,goto_finished_off_sticker,1682835973,30/04/2023 06:26:00:260
GR003251,ground,corners_cv_started,1682835973,30/04/2023 06:26:00:260
GR003251,ground,workaround_dismissed,1682835974,30/04/2023 06:26:00:260
GR003251,ground,workaround_failed,1682835975,30/04/2023 06:26:00:260
GR003251,ground,corners_cv_started,1682835996,30/04/2023 06:26:00:260
GR003251,ground,turn_finished_off_sticker,1682836001,30/04/2023 06:26:00:260
GR003251,ground,signup_no_sticker,1682836002,30/04/2023 06:26:00:260
LR00002288,lift,auto_reset_agent,1682836435,30/04/2023 06:33:00:330
LR00002120,lift,auto_reset_agent,1682836438,30/04/2023 06:33:00:330
LR00002267,lift,auto_reset_agent,1682836482,30/04/2023 06:34:00:340
LR00002113,lift,auto_reset_agent,1682836484,30/04/2023 06:34:00:340
LR00002282,lift,auto_reset_agent,1682836487,30/04/2023 06:34:00:340
GR003251,ground,safety_entered,1682836755,30/04/2023 06:39:00:390
GR003251,ground,robot_restarted,1682836757,30/04/2023 06:39:00:390
GR003251,ground,auto_reset_agent,1682836757,30/04/2023 06:39:00:390
LR00002282,lift,auto_reset_agent,1682836875,30/04/2023 06:41:00:410
LR00002288,lift,auto_reset_agent,1682836878,30/04/2023 06:41:00:410
LR00002120,lift,auto_reset_agent,1682836880,30/04/2023 06:41:00:410
LR00002267,lift,auto_reset_agent,1682836882,30/04/2023 06:41:00:410
LR00002113,lift,auto_reset_agent,1682836884,30/04/2023 06:41:00:410
LR00002267,lift,auto_reset_agent,1682837130,30/04/2023 06:45:00:450
GR003227,ground,periodic_goto_timeout,1682837253,30/04/2023 06:47:00:470
GR003227,ground,auto_reset_agent,1682837254,30/04/2023 06:47:00:470
LR00002265,lift,conveyor_not_success_to_pull_the_tote_while_loading,1682837353,30/04/2023 06:49:00:490
GR003267,ground,missing_sticker,1682837601,30/04/2023 06:53:00:530
LR00002265,lift,lift_not_responding,1682838761,30/04/2023 07:12:00:120
LR00002093,lift,auto_reset_agent,1682838787,30/04/2023 07:13:00:130
LR00002114,lift,auto_reset_agent,1682838790,30/04/2023 07:13:00:130
LR00002221,lift,auto_reset_agent,1682838791,30/04/2023 07:13:00:130
LR00002087,lift,auto_reset_agent,1682838793,30/04/2023 07:13:00:130
LR00002265,lift,auto_reset_agent,1682839033,30/04/2023 07:17:00:170
LR00002265,lift,auto_reset_agent,1682839059,30/04/2023 07:17:00:170
GR003165,ground,turn_timeout,1682839248,30/04/2023 07:20:00:200
GR003165,ground,auto_reset_agent,1682839248,30/04/2023 07:20:00:200
