component_id,component_type,error_name,error_created,has_related_job_id,error_date_time,error_date,job_created,job_id,tote_id,robot_type,allocation_date_time,allocation_end_time,duration_seconds
GR003270,ground,corners_cv_started,1682817125,1,2023-04-30 01:12:05.000,2023-04-30,1682816184,fe629bcd-3c06-455f-b5d4-4a4fc3803f89,10053565,ground,2023-04-30 00:56:24.000,1682817201,1017
GR003270,ground,corners_cv_succeeded,1682817125,1,2023-04-30 01:12:05.000,2023-04-30,1682816184,fe629bcd-3c06-455f-b5d4-4a4fc3803f89,10053565,ground,2023-04-30 00:56:24.000,1682817201,1017
GR003270,ground,goto_finished_off_sticker,1682817125,1,2023-04-30 01:12:05.000,2023-04-30,1682816184,fe629bcd-3c06-455f-b5d4-4a4fc3803f89,10053565,ground,2023-04-30 00:56:24.000,1682817201,1017
GR003165,ground,auto_reset_agent,1682843611,1,2023-04-30 08:33:31.000,2023-04-30,1682843528,f8ccb6cd-63d2-497d-bdaa-faacfcee7de9,10055425,ground,2023-04-30 08:32:08.000,1682844072,544
GR003165,ground,turn_timeout,1682843610,1,2023-04-30 08:33:30.000,2023-04-30,1682843528,f8ccb6cd-63d2-497d-bdaa-faacfcee7de9,10055425,ground,2023-04-30 08:32:08.000,1682844072,544
GR003160,ground,conflicting_tote_switch,1683001159,1,2023-05-02 04:19:19.000,2023-05-02,1683001098,fc11bc72-a5e3-4601-a92d-217caee4b4f4,10046169,ground,2023-05-02 04:18:18.000,1683001159,61
GR003165,ground,read_data_matrix_timeout,1682979954,1,2023-05-01 22:25:54.000,2023-05-01,1682979571,bc0f0f77-236e-4499-8cd7-0fe9d90f68da,10065312,ground,2023-05-01 22:19:31.000,1682980137,566
GR003165,ground,periodic_goto_timeout,1682979887,1,2023-05-01 22:24:47.000,2023-05-01,1682979571,bc0f0f77-236e-4499-8cd7-0fe9d90f68da,10065312,ground,2023-05-01 22:19:31.000,1682980137,566
GR003165,ground,auto_reset_agent,1682979888,1,2023-05-01 22:24:48.000,2023-05-01,1682979571,bc0f0f77-236e-4499-8cd7-0fe9d90f68da,10065312,ground,2023-05-01 22:19:31.000,1682980137,566
GR003165,ground,turn_timeout,1682875700,1,2023-04-30 17:28:20.000,2023-04-30,1682875242,62eb0ea4-4c5d-4ec2-8b0a-4c7b53e85954,10058408,ground,2023-04-30 17:20:42.000,1682875785,543
GR003165,ground,auto_reset_agent,1682875700,1,2023-04-30 17:28:20.000,2023-04-30,1682875242,62eb0ea4-4c5d-4ec2-8b0a-4c7b53e85954,10058408,ground,2023-04-30 17:20:42.000,1682875785,543
GR003165,ground,read_data_matrix_timeout,1682933652,1,2023-05-01 09:34:12.000,2023-05-01,1682932364,6e2cd473-cf39-4e7e-9a40-1b2393846539,10048357,ground,2023-05-01 09:12:44.000,1682933668,1304
GR003165,ground,periodic_goto_timeout,1682933581,1,2023-05-01 09:33:01.000,2023-05-01,1682932364,6e2cd473-cf39-4e7e-9a40-1b2393846539,10048357,ground,2023-05-01 09:12:44.000,1682933668,1304
GR003165,ground,auto_reset_agent,1682933581,1,2023-05-01 09:33:01.000,2023-05-01,1682932364,6e2cd473-cf39-4e7e-9a40-1b2393846539,10048357,ground,2023-05-01 09:12:44.000,1682933668,1304
GR003165,ground,turn_timeout,1682879904,1,2023-04-30 18:38:24.000,2023-04-30,1682879455,ac9c7d0b-7588-476f-8119-ffbebaf79172,10058758,ground,2023-04-30 18:30:55.000,1682882116,2661
GR003165,ground,robot_version_timeout,1682879945,1,2023-04-30 18:39:05.000,2023-04-30,1682879455,ac9c7d0b-7588-476f-8119-ffbebaf79172,10058758,ground,2023-04-30 18:30:55.000,1682882116,2661
GR003165,ground,robot_version_timeout,1682879955,1,2023-04-30 18:39:15.000,2023-04-30,1682879455,ac9c7d0b-7588-476f-8119-ffbebaf79172,10058758,ground,2023-04-30 18:30:55.000,1682882116,2661
GR003165,ground,robot_version_timeout,1682879965,1,2023-04-30 18:39:25.000,2023-04-30,1682879455,ac9c7d0b-7588-476f-8119-ffbebaf79172,10058758,ground,2023-04-30 18:30:55.000,1682882116,2661
